"","V1"
"d20080131",-0.144421069213768
"d20080229",0.0116514035593447
"d20080331",-0.209627050417135
"d20080430",0.0435156747616841
"d20080530",-0.0919454002206876
"d20080630",-0.257382770828583
"d20080731",0.00478504776401234
"d20080829",-0.159499079392846
"d20080926",-0.0638721991621578
"d20081031",-0.299087129329124
"d20081128",0.0952544413379375
"d20081231",-0.00669036716526517
"d20090123",0.11177203455535
"d20090227",0.051678204277068
"d20090331",0.158367180846541
"d20090430",0.0448890000657638
"d20090527",0.0508358379426124
"d20090630",0.137492339523807
"d20090731",0.165027942661785
"d20090831",-0.277274141856159
"d20090930",0.0598402072468911
"d20091030",0.0877441565645629
"d20091130",0.0681345924404031
"d20091231",0.018065063476655
"d20100129",-0.109708081451608
"d20100226",0.0239028152094551
"d20100331",0.0192969217162258
"d20100430",-0.0868292551358572
"d20100531",-0.100793921002018
"d20100630",-0.0788192070994764
"d20100730",0.112704099566072
"d20100831",0.0118995852190098
"d20100930",0.0110935613189636
"d20101029",0.140967675039409
"d20101130",-0.0746085323378782
"d20101231",-0.0027848884587538
"d20110131",-0.0166820715472724
"d20110228",0.0516420218765941
"d20110331",-0.00503525284679895
"d20110429",-0.00952779888351252
"d20110531",-0.0617433368251454
"d20110630",0.0140708565432508
"d20110729",-0.0239399694880813
"d20110831",-0.0430745820399165
"d20110930",-0.097874220597955
"d20111031",0.0431992072389402
"d20111130",-0.0666502182401292
"d20111230",-0.0722601245307208
"d20120131",0.0492897898259033
"d20120229",0.0666663323155845
"d20120330",-0.0704722720299307
"d20120427",0.0674359409706957
"d20120531",0.00223840994120739
"d20120629",-0.0669435508906195
"d20120731",-0.0536948607591761
"d20120831",-0.0564539159714519
"d20120928",0.0392395872953566
"d20121031",-0.0168370833044307
"d20121130",-0.0524227418818137
"d20121231",0.164782239237245
"d20130131",0.062951769014381
"d20130228",-0.00505764939185127
"d20130329",-0.0690017689469711
"d20130426",-0.0193341674579708
"d20130531",0.0629921065356891
"d20130628",-0.169232161524978
"d20130731",-0.00346772742267376
"d20130830",0.0536586890112316
"d20130930",0.0402883482604119
"d20131031",-0.0147695803108041
"d20131129",0.0271076564664563
"d20131231",-0.0456857324269579
"d20140130",-0.0563090492187142
"d20140228",-0.0107176300782736
"d20140331",-0.0151049880234186
"d20140430",0.00573943657269904
"d20140530",-0.00101735231617717
"d20140630",0.0040050201836479
"d20140731",0.0820472675296866
"d20140829",-0.00510352095590427
"d20140930",0.047072598565979
"d20141031",0.0231239911290171
"d20141128",0.113148910601603
"d20141231",0.229582785293439
"d20150130",-0.0285075693899906
"d20150227",0.0395223112025196
"d20150331",0.125652483479202
"d20150430",0.159106496869597
"d20150529",0.0189653692948166
"d20150630",-0.0790271991554441
"d20150731",-0.158672796383991
"d20150831",-0.125501698673334
"d20150930",-0.0498128132314495
"d20151030",0.0983811917194544
"d20151130",0.00910743313152906
"d20151231",0.0451174494939952
"d20160129",-0.236198618595568
"d20160229",-0.0235686811100191
"d20160331",0.111877109051155
"d20160429",-0.0192458981935903
"d20160531",0.00405124878723129
"d20160630",-0.00494627322483332
"d20160729",0.0157318654552299
"d20160831",0.0379312557810731
"d20160930",-0.022644368291969
"d20161031",0.0251905607979293
"d20161130",0.0587061239723567
"d20161230",-0.0665892784159521
"d20170126",0.0232555474752125
"d20170228",0.0189603317210434
"d20170331",0.000936537200983523
"d20170428",-0.00472534988258921
"d20170531",0.0153282326639186
"d20170630",0.0485908207096362
"d20170731",0.0191980667192819
"d20170831",0.0222813394300871
"d20170929",0.00376270548130186
"d20171031",0.0434115958927883
"d20171130",-0.000154402624142236
"d20171229",0.00616046270170756
"d20180131",0.0590157916740601
